# Event:     2006-BLG-98
# Object ID: gb11-9-260
# Reference flux = 2088.4
3646.85565 589.016 364.429
3646.94571 812.498 446.821
3647.88795 919.334 487.455
3648.94846 1122.57 622.324
3649.85253 611.737 384.046
3649.90891 694.822 704.48
3649.94768 1876.02 456.402
3655.8778 345.336 775.027
3655.93635 1487.52 781.434
3658.91348 2436.44 729.575
3659.86275 1966.86 1194.62
3659.91085 864.602 1035.98
3665.89902 1227.48 692.845
3666.87308 1992.65 734.095
3666.9114 1237.23 414.722
3667.86891 1119.45 553.037
3667.91588 693.182 450.624
3676.88746 975.246 1053.89
3792.15395 -1.70356 410.139
3792.19194 503.879 585.92
3795.08638 -2146.2 872.725
3795.14923 -512.322 794.566
3795.18719 -2689.34 1916.26
3799.13584 848.811 752.878
3799.17393 1530.74 661.882
3824.10141 722.873 303.24
3824.14097 488.2 412.981
3824.1796 420.919 416.716
3824.20502 536.96 318.995
3825.10323 386.39 255.111
3825.18697 445.077 381.197
3825.22927 844.358 485.976
3837.12626 307.972 276.622
3837.17317 65.6598 344.03
3837.21397 504.314 246.888
3839.07201 720.692 366.006
3839.11183 329.443 376.979
3839.15159 32.6944 295.388
3839.19132 647.261 423.226
3839.23075 64.5899 380.036
3843.00353 118.769 963.584
3843.04056 673.733 707.126
3843.06946 1572.73 626.684
3843.09761 1927.83 597.429
3843.12606 173.282 613.792
3845.13628 54.2562 135.774
3845.98227 -96.4708 908.715
3855.01543 712.488 273.375
3855.04037 847.869 278.291
3855.06668 555.221 350.238
3855.11689 575.696 367.39
3855.94927 234.613 354.292
3855.97539 318.736 473.263
3856.00139 1224.75 796.63
3856.06315 937.236 523.95
3856.09028 851.174 503.203
3856.11722 422.474 489.854
3856.14625 690.125 532.089
3856.17242 1101.45 561.008
3856.19973 1308.04 611.834
3856.23131 448.389 559.586
3856.25754 1482.16 570.653
3858.938 156.283 249.633
3858.96769 661.132 318.165
3858.99383 494.887 281.887
3859.02281 628.89 292.964
3859.04994 1002.28 286.438
3859.07881 950.018 300.938
3859.10722 875.471 295.199
3859.13335 778.975 370.847
3859.15946 303.39 526.136
3859.18883 877.939 393.645
3859.2197 895.416 359.748
3859.24592 1582.36 378.083
3859.27211 1508.18 478.563
3859.97463 593.465 516.057
3860.00367 1526.63 594.35
3860.02978 490.974 422.494
3860.06034 586.86 251.547
3860.08646 521.659 364.197
3860.11262 268.664 312.88
3860.14115 321.539 319.89
3860.16737 434.956 384.624
3860.19474 665.926 358.176
3860.22325 698.908 462.756
3860.24945 1441.68 324.724
3860.93235 419.047 299.863
3860.96098 591.007 374.161
3860.98712 711.494 423.068
3861.01324 708.511 307.281
3861.03938 731.148 431.505
3861.06801 891.134 507.997
3861.09416 508.334 482.905
3861.12312 708.022 531.565
3861.14925 665.422 462.162
3861.17835 637.465 607.329
3861.20785 527.18 578.736
3861.23407 1474.58 455.898
3861.26022 1137.86 515.474
3861.93421 443.506 249.63
3861.9626 470.195 293.739
3861.98873 721.619 354.247
3862.0166 587.847 303.92
3862.04595 938.389 315.902
3862.07207 473.972 310.161
3862.09819 329.652 312.138
3862.12431 745.993 311.203
3862.1517 591.84 285.953
3862.17798 631.405 323.941
3862.20529 450.427 419.568
3862.23385 1586.45 358.936
3862.26002 1156.36 473.513
3863.93294 417.69 313.926
3863.95908 192.798 367.497
3863.98519 929.684 355.464
3864.01138 464.395 297.413
3864.03752 521.441 288.451
3864.06364 361.388 279.01
3864.08977 11.2772 335.685
3864.11593 491.903 499.142
3864.14205 868.742 415.355
3864.16829 933.546 474.473
3864.20035 477.582 376.328
3864.22656 1574.91 412.402
3864.25273 1707.16 449.479
3867.94294 800.744 355.905
3867.97011 510.713 444.321
3867.99792 193.976 489.303
3868.02821 671.977 449.238
3868.06028 479.654 414.238
3868.09113 147.047 434.471
3868.12738 600.609 426.01
3868.16441 449.218 442.896
3868.20427 305.046 451.104
3868.24058 1075.7 471.687
3868.27621 208.623 529.782
3872.94772 1103.68 616.46
3872.98386 251.901 722.87
3873.01963 750.408 591.806
3873.05596 -183.034 751.901
3873.09333 905.013 842.179
3873.129 811.866 463.905
3873.16627 894.187 442.303
3873.20475 1218.04 452.531
3873.24316 1607.54 721.254
3873.27878 744.017 1441.59
3873.92306 364.914 298.499
3873.96148 457.974 506.281
3873.99798 988.784 411.097
3874.03381 510.481 372.118
3874.06966 66.1857 412.184
3874.10834 455.705 423.565
3874.14438 863.291 414.677
3874.18489 394.738 356.045
3874.22143 921.546 396.301
3874.26184 1166.7 512.285
3874.92841 188.669 331.693
3874.96439 628.247 277.805
3875.00053 650.135 398.409
3875.03692 697.539 389.236
3875.07351 774.067 348.633
3875.11011 340.929 313.593
3875.14683 1269.44 345.894
3875.18745 650.414 480.17
3875.22404 1316.3 371.11
3875.26183 937.515 374.638
3879.96868 379.314 336.296
3880.00452 738.871 370.125
3880.04069 432.711 368.318
3880.07677 926.916 377.504
3880.11647 483.285 431.655
3880.15376 583.53 461.433
3880.19284 1394.91 468.471
3880.22939 941.639 526.953
3880.27077 909.944 396.567
3881.0497 949.507 782.741
3881.09044 -571.066 694.439
3882.93747 2170.5 1653.51
3883.01526 599.389 389.246
3883.05275 373.43 352.664
3883.09003 392.811 355.242
3883.12587 412.065 372.797
3883.16846 959.536 336.619
3883.20785 736.299 348.423
3883.25266 951.903 316.857
3883.29025 986.67 418.33
3885.06798 1297.71 1770.64
3885.17398 1165.2 452.977
3885.93733 476.993 422.831
3885.97404 780.047 432.526
3886.0097 611.769 464.684
3886.04531 342.431 371.372
3886.08092 718.175 462.026
3886.12113 929.023 708.085
3887.17767 994.419 469.168
3887.21366 478.342 461.123
3887.24951 845.001 426.355
3887.28545 1075.64 445.449
3887.90178 781.374 349.874
3887.9385 592.8 354.601
3887.97765 525.203 355.371
3888.014 614.347 456.344
3888.05121 638.239 427.386
3888.08819 612.662 469.655
3888.12692 828.022 511.063
3888.1658 1470.65 408.564
3888.20318 644.586 497.088
3888.23962 709.537 471.145
3888.27604 1238.24 476.791
3889.01083 698.609 469.128
3889.05927 664.024 662.604
3891.85939 541.438 285.945
3891.901 969.938 289.314
3891.93898 1041.57 272.081
3891.98061 545.475 284.661
3892.01624 468.898 386.042
3892.05445 587.915 373.435
3892.09023 678.1 380.813
3892.12973 178.691 313.033
3892.28025 1179.93 329.747
3892.87314 -286.618 522.485
3892.91617 -2316.64 1370.3
3893.03362 -991.139 661.866
3893.06582 -275.611 641.682
3893.13513 992.019 448.724
3893.16619 739.656 393.901
3893.2032 770.214 840.379
3893.23407 752.172 576.324
3893.26527 1567.11 498.812
3893.29692 1112.89 808.845
3893.83881 218.028 405.09
3893.87156 503.415 472.834
3893.90371 671.585 431.395
3893.94116 759.599 456.595
3893.97819 488.274 540.653
3894.02247 428.498 504.284
3894.05964 457.204 431.254
3894.10032 721.459 493.004
3894.13998 909.73 536.057
3894.18276 764.115 524.734
