# Reference flux 14214.6936817
# Magnitude zero point 29.7465228468
# mag = zpt - 2.5 * log10(flux)
3666.9015 -30.003 579.94054002 B310-gb5-R-7
3824.09149 -44.9381 508.64604333 B335-gb5-R-7
3824.13104 -132.847 550.45100481 B336-gb5-R-7
3824.1951 62.9004 532.61365836 B338-gb5-R-7
3825.09331 167.206 467.56134624 B339-gb5-R-7
3825.13241 484.905 570.97035988 B340-gb5-R-7
3825.177 -13.2545 568.04183436 B341-gb5-R-7
3837.20392 362.431 591.09554108 B345-gb5-R-7
3839.06201 -15.9253 542.6985354 B347-gb5-R-7
3839.10177 243.449 503.63949626 B348-gb5-R-7
3839.14146 -61.5935 514.89971328 B349-gb5-R-7
3843.11888 -1318.67 511.97070417 B356-gb5-R-7
3845.12915 -24.5489 446.73822289 B358-gb5-R-7
3864.00425 -320.827 582.864056291 B446-gb5-R-7
3864.08265 -248.595 591.74200659 B449-gb5-R-7
3864.16117 300.238 505.81552238 B452-gb5-R-7
3864.19323 179.958 410.790327 B453-gb5-R-7
3864.21944 536.699 578.3996995 B454-gb5-R-7
3864.24561 -868.011 599.38038097 B455-gb5-R-7
3867.93581 -131.784 571.826911338 B457-gb5-R-7
3867.96298 -66.2842 540.121428 B458-gb5-R-7
3867.9908 -499.384 599.494994556 B459-gb5-R-7
3868.01871 207.212 414.42623052 B460-gb5-R-7
3868.02583 -615.631 443.476634115 B461-gb5-R-7
3868.03296 -230.775 529.5182728 B462-gb5-R-7
3868.04008 223.492 555.1697496 B463-gb5-R-7
3868.04603 499.82 516.524118848 B464-gb5-R-7
3868.05315 -178.863 401.002352541 B465-gb5-R-7
3868.07452 -118.894 287.493401916 B466-gb5-R-7
3868.08164 -83.1344 414.225704948 B467-gb5-R-7
3868.08876 431.203 425.843237838 B468-gb5-R-7
3868.09588 540.373 438.17575725 B469-gb5-R-7
3868.10299 -116.855 385.995547413 B470-gb5-R-7
3868.11076 -41.763 444.030603494 B471-gb5-R-7
3868.11788 715.152 396.907185458 B472-gb5-R-7
3868.12501 127.964 478.387878876 B473-gb5-R-7
3868.13213 -61.4384 467.334358518 B474-gb5-R-7
3868.13926 123.277 297.891517225 B475-gb5-R-7
3868.14779 -59.5089 386.50758649 B476-gb5-R-7
3868.15492 643.744 333.434268156 B477-gb5-R-7
3868.16204 330.084 374.333370448 B478-gb5-R-7
3868.16915 -79.9545 339.549364884 B479-gb5-R-7
3868.17754 -65.2758 488.943671004 B480-gb5-R-7
3868.18507 -33.6146 384.745740897 B481-gb5-R-7
3868.19477 251.995 495.055746796 B482-gb5-R-7
3868.2019 279.497 523.690307694 B483-gb5-R-7
3868.20902 -167.156 485.882917264 B484-gb5-R-7
3868.21615 70.9538 468.654478755 B485-gb5-R-7
3868.22395 -374.162 502.164845091 B486-gb5-R-7
3868.23108 -152.871 494.614572842 B487-gb5-R-7
3868.23821 94.7492 499.064086717 B488-gb5-R-7
3868.24534 -140.894 515.311189362 B489-gb5-R-7
3868.25246 658.525 478.017501999 B490-gb5-R-7
3868.25959 849.672 510.592498002 B491-gb5-R-7
3868.26672 251.163 470.952086472 B492-gb5-R-7
3868.27384 -136.898 538.842800454 B493-gb5-R-7
3874.92603 -84.5279 576.33789416 B597-gb5-R-7
3874.96916 299.475 585.951634366 B603-gb5-R-7
3874.97632 60.6077 580.170921713 B604-gb5-R-7
3874.9836 226.606 556.61376678 B605-gb5-R-7
3874.9981 59.0208 461.07402041 B607-gb5-R-7
3875.00534 275.29 542.154873023 B608-gb5-R-7
3875.01266 72.3377 505.549716771 B609-gb5-R-7
3875.01996 -211.747 535.531238928 B610-gb5-R-7
3875.0272 254.318 490.051830681 B611-gb5-R-7
3875.03453 275.53 375.956412928 B612-gb5-R-7
3875.04175 -224.988 471.03812574 B613-gb5-R-7
3875.04903 413.603 488.35755951 B614-gb5-R-7
3875.07838 322.919 523.60714848 B618-gb5-R-7
3875.09306 322.909 541.22600317 B621-gb5-R-7
3875.10771 585.202 542.224765874 B623-gb5-R-7
3875.11499 339.181 492.551656212 B624-gb5-R-7
3875.12979 497.453 598.4516656 B626-gb5-R-7
3875.14442 499.758 594.58858725 B628-gb5-R-7
3875.15296 632.127 504.01403259 B629-gb5-R-7
3875.16026 -864.02 499.3292304 B630-gb5-R-7
3875.16776 156.619 573.50285064 B631-gb5-R-7
3875.17786 234.291 562.04523344 B632-gb5-R-7
3875.18505 -408.683 560.28102208 B633-gb5-R-7
3875.1995 6.75768 546.67291608 B635-gb5-R-7
3875.20697 -87.8075 557.261942692 B636-gb5-R-7
3875.21431 -19.1591 555.626789608 B637-gb5-R-7
3875.23614 330.148 557.275593348 B640-gb5-R-7
3875.24488 290.597 551.263644268 B641-gb5-R-7
3875.25215 380.516 589.02369708 B642-gb5-R-7
3875.25941 -216.459 590.80644 B643-gb5-R-7
3875.26667 -718.528 582.451008256 B644-gb5-R-7
3879.95203 -352.141 514.150411675 B648-gb5-R-7
3879.95916 527.51 531.753478224 B649-gb5-R-7
3879.9663 -186.504 530.722433124 B650-gb5-R-7
3879.97344 176.077 539.359988712 B651-gb5-R-7
3879.98059 123.133 536.027762307 B652-gb5-R-7
3879.98786 289.264 578.544182304 B653-gb5-R-7
3879.995 190.942 559.455669825 B654-gb5-R-7
3880.00214 114.637 522.546056 B655-gb5-R-7
3880.00928 256.142 408.678870864 B656-gb5-R-7
3880.01642 183.177 481.821424812 B657-gb5-R-7
3880.02403 299.126 466.488358051 B658-gb5-R-7
3880.03117 571.138 346.515537252 B659-gb5-R-7
3880.03831 62.9618 406.89938212 B660-gb5-R-7
3880.04546 151.426 417.088601808 B661-gb5-R-7
3880.05261 142.425 453.475292616 B662-gb5-R-7
3880.06011 -24.1073 245.982229881 B663-gb5-R-7
3880.06725 296.619 390.065789276 B664-gb5-R-7
3880.07439 156.072 416.191555854 B665-gb5-R-7
3880.08153 22.5334 357.076130434 B666-gb5-R-7
3880.08867 452.024 355.030292694 B667-gb5-R-7
3880.09981 215.848 291.382158924 B668-gb5-R-7
3880.10695 307.48 350.325960384 B669-gb5-R-7
3880.11409 -106.421 228.75631086 B670-gb5-R-7
3880.12123 137.386 326.72789584 B671-gb5-R-7
3880.12837 139.037 414.840462299 B672-gb5-R-7
3880.13582 388.631 387.604907079 B673-gb5-R-7
3880.14423 234.713 285.952516829 B674-gb5-R-7
3880.15138 397.736 334.347144266 B675-gb5-R-7
3880.15852 24.2543 341.755757863 B676-gb5-R-7
3880.16566 -141.24 399.97608056 B677-gb5-R-7
3880.17618 85.8502 407.20423905 B678-gb5-R-7
3880.18332 -229.491 389.692723504 B679-gb5-R-7
3880.19046 -21.9391 326.762597502 B680-gb5-R-7
3880.19761 30.9403 356.075308768 B681-gb5-R-7
3880.20474 -104.878 411.406786876 B682-gb5-R-7
3880.21273 401.664 370.0787545 B683-gb5-R-7
3880.21987 335.589 309.261061748 B684-gb5-R-7
3880.22701 343.58 291.255846998 B685-gb5-R-7
3880.23415 565.524 358.531496083 B686-gb5-R-7
3880.2413 516.645 351.224838144 B687-gb5-R-7
3880.2541 19.0605 324.824949068 B688-gb5-R-7
3880.26124 52.1594 363.749665752 B689-gb5-R-7
3880.26839 37.9588 460.793392246 B690-gb5-R-7
3880.27553 687.724 542.464139063 B691-gb5-R-7
3880.28267 271.722 483.280284223 B692-gb5-R-7
3880.28991 -75.8826 540.605401764 B693-gb5-R-7
3883.00574 310.767 565.17816 B717-gb5-R-7
3883.01288 307.332 503.34515847 B718-gb5-R-7
3883.02002 664.244 591.60628681 B719-gb5-R-7
3883.02716 -962.828 510.28035618 B720-gb5-R-7
3883.04322 -428.276 585.0401606 B722-gb5-R-7
3883.05036 -436.253 525.0514572 B723-gb5-R-7
3883.05752 -232.73 422.214419511 B724-gb5-R-7
3883.06466 377.592 381.21829403 B725-gb5-R-7
3883.07337 386.639 448.50835395 B726-gb5-R-7
3883.08765 111.913 418.598920366 B728-gb5-R-7
3883.09479 281.555 392.9288535 B729-gb5-R-7
3883.10193 280.797 451.431466156 B730-gb5-R-7
3883.1092 77.2312 453.44268137 B731-gb5-R-7
3883.11634 -132.547 467.71556255 B732-gb5-R-7
3883.12348 -140.722 526.941238987 B733-gb5-R-7
3883.13189 290.388 481.5748226 B734-gb5-R-7
3883.13904 102.857 516.664387616 B735-gb5-R-7
3883.14921 257.74 376.716736844 B736-gb5-R-7
3883.15893 42.8617 568.766509344 B737-gb5-R-7
3883.16608 415.404 597.687012076 B738-gb5-R-7
3883.17326 426.346 522.078112774 B739-gb5-R-7
3883.18041 -287.46 554.889599076 B740-gb5-R-7
3883.19116 32.7443 588.565590678 B741-gb5-R-7
