Hour,To Volume (px),From Volume (px),Total Volume (px),Vehicle Density (veh/km)
0,13,12,25,21.68589744
1,9,10,19,16.48128205
2,7,7,14,12.14410256
3,5,6,11,9.541794872
4,5,5,10,8.674358974
5,6,7,13,11.27666667
6,10,11,21,18.21615385
7,14,17,31,26.89051282
8,23,28,51,44.23923077
9,38,46,84,72.86461538
10,53,78,131,113.6341026
11,61,101,162,140.5246154
12,64,97,161,139.6571795
13,54,62,116,100.6225641
14,69,65,134,116.2364103
15,98,72,170,147.4641026
16,108,78,186,161.3430769
17,120,84,204,176.9569231
18,88,80,168,145.7292308
19,52,59,111,96.28538462
20,33,35,68,58.98564103
21,26,22,48,41.63692308
22,29,16,45,39.03461538
23,20,11,31,26.89051282
0,11,8,19,16.48128205
1,7,6,13,11.27666667
2,7,6,13,11.27666667
3,8,7,15,13.01153846
4,10,9,19,16.48128205
5,15,17,32,27.75794872
6,32,34,66,57.25076923
7,74,115,189,163.9453846
8,84,138,222,192.5707692
9,77,94,171,148.3315385
10,81,81,162,140.5246154
11,82,84,166,143.994359
12,81,78,159,137.9223077
13,74,81,155,134.4525641
14,81,75,156,135.32
15,94,78,172,149.1989744
16,114,89,203,176.0894872
17,140,98,238,206.4497436
18,114,75,189,163.9453846
19,64,49,113,98.02025641
20,35,25,60,52.04615385
21,23,15,38,32.9625641
22,17,11,28,24.28820513
23,11,8,19,16.48128205
0,7,6,13,11.27666667
1,6,5,11,9.541794872
2,5,5,10,8.674358974
3,6,5,11,9.541794872
4,8,8,16,13.87897436
5,13,16,29,25.15564103
6,29,33,62,53.78102564
7,74,110,184,159.6082051
8,78,137,215,186.4987179
9,74,92,166,143.994359
10,78,82,160,138.7897436
11,78,85,163,141.3920513
12,78,77,155,134.4525641
13,79,77,156,135.32
14,87,78,165,143.1269231
15,100,79,179,155.2710256
16,117,92,209,181.2941026
17,143,105,248,215.1241026
18,120,82,202,175.2220513
19,66,52,118,102.3574359
20,39,26,65,56.38333333
21,26,17,43,37.29974359
22,19,14,33,28.62538462
23,13,10,23,19.95102564
0,9,7,16,13.87897436
1,7,6,13,11.27666667
2,6,6,12,10.40923077
3,6,6,12,10.40923077
4,8,8,16,13.87897436
5,12,16,28,24.28820513
6,29,32,61,52.91358974
7,71,113,184,159.6082051
8,81,130,211,183.0289744
9,74,94,168,145.7292308
10,75,82,157,136.1874359
11,82,85,167,144.8617949
12,88,85,173,150.0664103
13,78,88,166,143.994359
14,84,85,169,146.5966667
15,94,85,179,155.2710256
16,113,95,208,180.4266667
17,136,107,243,210.7869231
18,113,88,201,174.3546154
19,66,56,122,105.8271795
20,35,32,67,58.11820513
21,23,20,43,37.29974359
22,17,15,32,27.75794872
23,12,11,23,19.95102564
0,8,9,17,14.74641026
1,5,7,12,10.40923077
2,4,7,11,9.541794872
3,5,8,13,11.27666667
4,7,10,17,14.74641026
5,11,20,31,26.89051282
6,28,28,56,48.57641026
7,69,121,190,164.8128205
8,82,147,229,198.6428205
9,69,104,173,150.0664103
10,71,89,160,138.7897436
11,79,89,168,145.7292308
12,82,88,170,147.4641026
13,75,89,164,142.2594872
14,82,87,169,146.5966667
15,92,85,177,153.5361538
16,115,100,215,186.4987179
17,134,110,244,211.654359
18,111,89,200,173.4871795
19,62,58,120,104.0923077
20,33,32,65,56.38333333
21,22,22,44,38.16717949
22,17,15,32,27.75794872
23,13,12,25,21.68589744
0,8,10,18,15.61384615
1,6,8,14,12.14410256
2,5,8,13,11.27666667
3,5,9,14,12.14410256
4,7,11,18,15.61384615
5,11,20,31,26.89051282
6,25,38,63,54.64846154
7,64,118,182,157.8733333
8,77,138,215,186.4987179
9,68,101,169,146.5966667
10,75,91,166,143.994359
11,84,100,184,159.6082051
12,91,97,188,163.0779487
13,84,91,175,151.8012821
14,92,94,186,161.3430769
15,111,107,218,189.1010256
16,133,117,250,216.8589744
17,138,115,253,219.4612821
18,111,101,212,183.8964103
19,71,84,155,134.4525641
20,39,55,94,81.53897436
21,22,35,57,49.44384615
22,20,26,46,39.90205128
23,17,20,37,32.09512821
0,12,16,28,24.28820513
1,8,12,20,17.34871795
2,7,11,18,15.61384615
3,6,11,17,14.74641026
4,8,14,22,19.08358974
5,9,20,29,25.15564103
6,15,28,43,37.29974359
7,25,41,66,57.25076923
8,41,61,102,88.47846154
9,58,82,140,121.4410256
10,74,111,185,160.475641
11,77,130,207,179.5592308
12,72,114,186,161.3430769
13,64,88,152,131.8502564
14,72,100,172,149.1989744
15,79,111,190,164.8128205
16,87,101,188,163.0779487
17,88,88,176,152.6687179
18,78,78,156,135.32
19,59,64,123,106.6946154
20,32,38,70,60.72051282
21,20,23,43,37.29974359
22,17,19,36,31.22769231
23,16,16,32,27.75794872
