,VHT,VMT,Avg. Delay,Incoming Veh. Flux,Outgoing Veh. Flux,Avg. Queue Length,Total Queue Length,X(t),timestep
0,40.872510778074314,36.691252925477315,17.539177444740982,0.2,0.1,0.25,2,10,0
1,40.871766798959904,36.690585055426304,17.53843346562657,0.2,0.3,0.7142857142857143,5,12,1
2,40.868851337483754,36.687967845659166,17.535518004150422,0.3,0.4,0.8333333333333334,5,11,2
3,40.8658778469325,36.6852985431913,17.532544513599163,0.3,0.3,1.0,5,10,3
4,40.86159737417943,36.681455962800875,17.528264040846096,0.3,0.5,0.6666666666666666,4,10,4
5,40.85788502289972,36.67812338505708,17.524551689566387,0.3,0.0,0.4,2,7,5
6,40.85788502289972,36.67812338505708,17.524551689566387,0.3,0.1,0.25,2,10,6
7,40.857142857142854,36.67745714285714,17.52380952380952,0.3,0.3,0.5714285714285714,4,11,7
8,40.854916968495864,36.67545896261874,17.52158363516253,0.2,0.2,0.8333333333333334,5,11,8
9,40.8520669627605,36.67290051247011,17.51873362942717,0.3,0.5,0.5,4,12,9
10,40.84767759562841,36.66896017759563,17.51434426229508,0.3,0.0,0.125,1,9,10
11,40.84767759562841,36.66896017759563,17.51434426229508,0.3,0.3,0.7142857142857143,5,12,11
12,40.84477224612443,36.666352045345896,17.511438912791096,0.2,0.2,0.2222222222222222,2,11,12
13,40.84533970638443,36.6668614544213,17.512006373051094,0.2,0.3,0.7142857142857143,5,12,13
14,40.84584926269798,36.667318883123976,17.512515929364646,0.3,0.3,0.5,4,12,14
15,40.84226332673538,36.66409978841035,17.50892999340204,0.2,0.3,0.8333333333333334,5,11,15
16,40.83936126654838,36.66149460898048,17.506027933215048,0.3,0.5,0.5714285714285714,4,11,16
17,40.83498192236851,36.65756327171021,17.501648589035174,0.2,0.2,0.3333333333333333,2,8,17
18,40.83418593547507,36.656848714275974,17.500852602141737,0.3,0.2,0.2857142857142857,2,9,18
19,40.8299802223283,36.653073245584125,17.49664688899497,0.2,0.3,0.42857142857142855,3,10,19
20,40.82503750170463,36.648636165280244,17.491704168371292,0.3,0.3,0.2857142857142857,2,9,20
21,40.826913900061356,36.65032060808508,17.49358056672802,0.3,0.2,0.5,3,9,21
22,40.824074705200736,36.647771862858704,17.4907413718674,0.2,0.4,0.5,3,9,22
23,40.81703577512777,36.641453015332196,17.48370244179444,0.3,0.2,0.3333333333333333,2,8,23
24,40.81624310145125,36.64074143217279,17.482909768117917,0.2,0.2,1.25,5,9,24
25,40.8168131344097,36.641253150759596,17.483479801076363,0.3,0.5,1.25,5,9,25
26,40.809043857259596,36.634278670661935,17.475710523926264,0.3,0.3,0.4,2,7,26
27,40.805474228909915,36.631074215292436,17.472140895576583,0.2,0.1,0.16666666666666666,1,7,27
28,40.80337690631808,36.62919144880174,17.470043572984743,0.2,0.2,0.3333333333333333,2,8,28
29,40.80054458815521,36.62664887678694,17.467211254821876,0.3,0.3,0.2857142857142857,2,9,29
30,40.79561696045736,36.62222534540257,17.462283627124023,0.3,0.2,0.0,0,8,30
31,40.791425654984685,36.618462810479755,17.45809232165135,0.2,0.1,0.2857142857142857,2,9,31
32,40.79137180185084,36.61841446652151,17.458038468517504,0.2,0.3,0.5714285714285714,4,11,32
33,40.79121028641404,36.61826947411388,17.45787695308071,0.3,0.3,1.0,5,10,33
34,40.7862875799211,36.61385036049517,17.452954246587765,0.2,0.4,0.42857142857142855,3,10,34
35,40.78199374405004,36.60999578403373,17.44866041071671,0.3,0.1,0.14285714285714285,1,8,35
36,40.78194057251649,36.60994805194805,17.44860723918315,0.2,0.2,0.6666666666666666,4,10,36
37,40.78319396287987,36.61107322047726,17.449860629546535,0.3,0.4,0.5714285714285714,4,11,37
38,40.77754366886427,36.60600095153945,17.444210335530933,0.3,0.3,0.2857142857142857,2,9,38
39,40.77466702908399,36.6034185920087,17.441333695750657,0.2,0.2,0.2857142857142857,2,9,39
40,40.77388232096752,36.602714159532546,17.44054898763419,0.3,0.3,0.2857142857142857,2,9,40
41,40.770328102710415,36.59952353780314,17.43699476937708,0.2,0.1,0.2857142857142857,2,9,41
42,40.76959652221166,36.5988667979894,17.43626318887832,0.2,0.3,0.8333333333333334,5,11,42
43,40.76468590831919,36.594458539898135,17.43135257498585,0.3,0.5,1.0,5,10,43
44,40.75967413441955,36.58995947046843,17.426340801086212,0.3,0.2,0.6,3,8,44
45,40.75685582405647,36.5874294732555,17.423522490723137,0.3,0.2,0.6,3,8,45
46,40.75403827881091,36.58490016288856,17.420704945477578,0.2,0.3,0.5,3,9,46
47,40.753206215647694,36.58415321978693,17.419872882314355,0.3,0.3,0.8,4,9,47
48,40.74694708276798,36.578534396200816,17.413613749434646,0.2,0.4,0.3333333333333333,2,8,48
49,40.74199674443841,36.574090477482365,17.408663411105078,0.3,0.1,0.16666666666666666,1,7,49
50,40.73991183452017,36.57221885384876,17.40657850118684,0.2,0.3,0.5,3,9,50
51,40.73840520748576,36.570866354759964,17.40507187415243,0.3,0.3,0.3333333333333333,2,8,51
52,40.733509592569995,36.56647156125008,17.400176259236662,0.2,0.1,0.14285714285714285,1,8,52
53,40.73142624728851,36.56460134219088,17.39809291395517,0.2,0.1,0.2857142857142857,2,9,53
54,40.72934318443706,36.562731376669156,17.396009851103727,0.2,0.2,0.5714285714285714,4,11,54
55,40.72721111487631,36.56081741782447,17.393877781542976,0.3,0.5,0.7142857142857143,5,12,55
56,40.72493224932249,36.5587716802168,17.39159891598916,0.2,0.3,0.5,3,9,56
57,40.7200433516223,36.55438291675134,17.386710018288966,0.3,0.3,0.2857142857142857,2,9,57
58,40.719897060815384,36.55425159149397,17.38656372748205,0.2,0.2,0.3333333333333333,2,8,58
59,40.717768147345616,36.55234046587215,17.38443481401228,0.3,0.2,0.2857142857142857,2,9,59
60,40.71699390656737,36.55164542992552,17.383660573234035,0.2,0.3,0.42857142857142855,3,10,60
61,40.71346375143843,36.548476409666286,17.380130418105097,0.3,0.3,0.8,4,9,61
62,40.70993502977802,36.54530867623172,17.376601696444688,0.3,0.3,2.0,6,9,62
63,40.70505446917924,36.5409273969822,17.371721135845902,0.2,0.5,1.6666666666666667,5,8,63
64,40.69805194805195,36.53464123376623,17.364718614718612,0.2,0.0,0.5,2,6,64
65,40.69805194805195,36.53464123376623,17.364718614718612,0.2,0.1,0.8,4,9,65
66,40.69597565099763,36.53277734190058,17.3626423176643,0.2,0.6,1.5,6,10,66
67,40.68960854573727,36.52706159150834,17.356275212403936,0.2,0.3,0.75,3,7,67
68,40.68608895498174,36.52390205488712,17.35275562164841,0.3,0.2,0.16666666666666666,1,7,68
69,40.68194106515274,36.52017849418762,17.348607731819406,0.2,0.0,0.0,0,7,69
70,40.68194106515274,36.52017849418762,17.348607731819406,0.2,0.1,0.42857142857142855,3,10,70
71,40.679867540717716,36.518317091302286,17.34653420738438,0.2,0.3,0.5714285714285714,4,11,71
72,40.67635135135135,36.515160608108104,17.343018018018018,0.3,0.2,0.375,3,11,72
73,40.6769355492501,36.51568504256181,17.343602215916768,0.3,0.4,1.0,6,12,73
74,40.67337565851682,36.512489328650545,17.340042325183486,0.2,0.4,0.25,2,10,74
75,40.67116812964214,36.51050762997974,17.3378347963088,0.2,0.0,0.5,3,9,75
